"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","TC_Membership_082 - Member: Back and Forth navigation in enrollment steps","","0","0","13","0","0"
"","TC_Membership_079 - Member: Verify Change Location functionality in Location Details in the CONFIRM&PAY screen","","0","0","11","0","0"
"","TC_Membership_040 - Non-member: Verify Billing Address functionality in the CONFIRM&PAY screen","","0","0","6","0","0"
"","TC_Membership_043 - Member: Pathway org - Successful enrollment TP for new pet of a member user within coupon applied","","0","0","11","0","0"
"","TC_Membership_081 - Member: Verify Billing Address functionality in the CONFIRM&PAY screen","","0","0","10","0","0"
"","TC_Membership_018 - Non-member, matching: Pathway org - Unsuccessful membership plan change (failure at first step while creating new subs) from TP to TW for an enrolled pet of an existing non-member user","","2","0","14","0","0"
"","TC_Membership_039 - Non-member: Verify Payment Details functionality in the CONFIRM&PAY screen","","0","0","6","0","0"
"","TC_Membership_002 - Non-member: Pathway org - Successful enrollment TP for new pet of brand new user within coupon applied","","0","0","7","0","0"
"","TC_Membership_021 - Non-member, matching: Multi org - Successful membership plan change from TP (Thrive) to TW (Pathway) for an enrolled pet of an existing non-member user","","7","0","9","0","0"
"","TC_Membership_080 - Member: Verify Payment Details functionality in the CONFIRM&PAY screen","","0","0","10","0","0"
"","TC_Membership_041 - Non-member: Back and Forth navigation in enrollment steps","","0","0","7","0","0"
"","TC_Membership_038 - Non-member: Verify 'Change Location' functionality in Location Details in the CONFIRM&PAY screen","","0","0","6","0","0"
