"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 20 05:08:17 UTC 2026","Wed May 20 05:08:20 UTC 2026","3626","","TC_Services_001_002_003_004_005_006_007 -  Verify the leaf level service pages","","","","should click sub Service and then select Wellness Exams verify details page",""
"passed","Wed May 20 05:05:48 UTC 2026","Wed May 20 05:05:53 UTC 2026","4392","","TC_GlobalSearch_009 - VerifyRetry Search in Global Search.","","","","should search global search with value ""abcdef"" and verify",""
"passed","Wed May 20 05:05:13 UTC 2026","Wed May 20 05:05:16 UTC 2026","2287","","TC_GlobalSearch_007 - Verify Search with Services in Global Search.","","","","should verify recent search",""
"passed","Wed May 20 05:07:43 UTC 2026","Wed May 20 05:07:54 UTC 2026","11306","","TC_Services_001_002_003_004_005_006_007 -  Verify the leaf level service pages","","","","should go to the Marketing page",""
"passed","Wed May 20 05:07:59 UTC 2026","Wed May 20 05:08:26 UTC 2026","26434","","TC_Services_001_002_003_004_005_006_007 -  Verify the leaf level service pages","","","","search with Thrive Oltorf clinic and ‘Make preferred clinic’  ",""
"passed","Wed May 20 05:12:21 UTC 2026","Wed May 20 05:12:21 UTC 2026","280","","TC_TPM_011 - Verify Video in Thrive Plus Membership Section","","","","should verify the Article page of Membership page",""
"passed","Wed May 20 05:04:56 UTC 2026","Wed May 20 05:04:58 UTC 2026","2351","","TC_GlobalSearch_007 - Verify Search with Services in Global Search.","","","","should click on global search glass icon",""
"passed","Wed May 20 05:06:52 UTC 2026","Wed May 20 05:06:58 UTC 2026","5863","","TC_GlobalSearch_010 - Verify under RECENT SEARCH displays last 5 searched texts (latest -> oldest).","","","","should search global search with value ""Thrive"" then check result",""
"passed","Wed May 20 05:11:17 UTC 2026","Wed May 20 05:11:26 UTC 2026","9403","","TC_TPM_009 - Verify Video in Thrive Plus Membership Section","","","","should open the page",""
"passed","Wed May 20 05:04:47 UTC 2026","Wed May 20 05:04:56 UTC 2026","9292","","TC_GlobalSearch_007 - Verify Search with Services in Global Search.","","","","should open the page",""
"passed","Wed May 20 05:06:42 UTC 2026","Wed May 20 05:06:46 UTC 2026","3848","","TC_GlobalSearch_010 - Verify under RECENT SEARCH displays last 5 searched texts (latest -> oldest).","","","","should search global search with value ""service"" and verify",""
"passed","Wed May 20 05:07:38 UTC 2026","Wed May 20 05:07:41 UTC 2026","3213","","TC_Resources_001_002_003_004 - Verify UI in Resources","","","","should click Resources breadcrumbs and verify",""
"passed","Wed May 20 05:11:08 UTC 2026","Wed May 20 05:11:11 UTC 2026","3093","","TC_TPM_008 - Verify View Full Terms and Conditions Here in Thrive Plus Membership Section","","","","should navigate to the Thrive Plus Membership",""
"passed","Wed May 20 05:05:59 UTC 2026","Wed May 20 05:06:03 UTC 2026","4248","","TC_GlobalSearch_009 - VerifyRetry Search in Global Search.","","","","should search global search with value ""Thrive"" then check result",""
"passed","Wed May 20 05:11:54 UTC 2026","Wed May 20 05:12:02 UTC 2026","7814","","TC_TPM_010 - Verify Select Clinic To See Pricing in Thrive Plus Membership Section","","","","should verify Select Clinic To See Pricing on the Thrive Plus Membership page",""
"passed","Wed May 20 05:04:58 UTC 2026","Wed May 20 05:05:03 UTC 2026","5032","","TC_GlobalSearch_007 - Verify Search with Services in Global Search.","","","","should search global search with value ""abcdef"" and verify",""
"passed","Wed May 20 05:06:03 UTC 2026","Wed May 20 05:06:05 UTC 2026","2284","","TC_GlobalSearch_009 - VerifyRetry Search in Global Search.","","","","should verify recent search",""
"passed","Wed May 20 05:05:09 UTC 2026","Wed May 20 05:05:13 UTC 2026","4014","","TC_GlobalSearch_007 - Verify Search with Services in Global Search.","","","","should search global search with value ""Thrive"" then check result",""
"passed","Wed May 20 05:08:21 UTC 2026","Wed May 20 05:08:26 UTC 2026","4783","","TC_Services_001_002_003_004_005_006_007 -  Verify the leaf level service pages","","","","verify displayed Find Another Location and navigated to Location Finder",""
"passed","Wed May 20 05:09:22 UTC 2026","Wed May 20 05:09:31 UTC 2026","9057","","TC_TPM_004 -[Non-member] Verify Manage your membership in Thrive Plus Membership","","","","should open the page",""
"passed","Wed May 20 05:10:05 UTC 2026","Wed May 20 05:10:11 UTC 2026","6223","","TC_TPM_005 -[Member] Verify Manage your membership in Thrive Plus Membership","","","","user log in Marketing website",""
"passed","Wed May 20 05:09:45 UTC 2026","Wed May 20 05:10:05 UTC 2026","19425","","TC_TPM_005 -[Member] Verify Manage your membership in Thrive Plus Membership","","","","should go to the Marketing website page",""
"passed","Wed May 20 05:10:29 UTC 2026","Wed May 20 05:10:33 UTC 2026","3305","","TC_TPM_006 - Verify Contact Us in Thrive Plus Membership","","","","should click membership and verify contact us link is visible",""
"passed","Wed May 20 05:09:34 UTC 2026","Wed May 20 05:09:43 UTC 2026","9262","","TC_TPM_004 -[Non-member] Verify Manage your membership in Thrive Plus Membership","","","","user should click Manage Your Membership and verify Navigated to Login Account (B2C page)",""
"passed","Wed May 20 05:12:13 UTC 2026","Wed May 20 05:12:14 UTC 2026","1122","","TC_TPM_011 - Verify Video in Thrive Plus Membership Section","","","","should navigate to the Thrive Plus Membership",""
